year,region,tas_anomaly,scenario
2015,atlantic_north,0.54540443,ssp585
2016,atlantic_north,0.6854229,ssp585
2017,atlantic_north,0.25732613,ssp585
2018,atlantic_north,0.2839508,ssp585
2019,atlantic_north,1.0708103,ssp585
2020,atlantic_north,1.0564041,ssp585
2021,atlantic_north,1.0692348,ssp585
2022,atlantic_north,0.59589386,ssp585
2023,atlantic_north,1.2160282,ssp585
2024,atlantic_north,0.5537338,ssp585
2025,atlantic_north,0.29446602,ssp585
2026,atlantic_north,0.3894863,ssp585
2027,atlantic_north,0.9736099,ssp585
2028,atlantic_north,1.1469116,ssp585
2029,atlantic_north,0.7554302,ssp585
2030,atlantic_north,0.72760963,ssp585
2031,atlantic_north,0.942461,ssp585
2032,atlantic_north,0.65870476,ssp585
2033,atlantic_north,0.7203598,ssp585
2034,atlantic_north,0.93154716,ssp585
2035,atlantic_north,0.66195107,ssp585
2036,atlantic_north,0.5530529,ssp585
2037,atlantic_north,1.2685032,ssp585
2038,atlantic_north,1.030365,ssp585
2039,atlantic_north,1.013237,ssp585
2040,atlantic_north,1.1915894,ssp585
2041,atlantic_north,1.2819729,ssp585
2042,atlantic_north,0.9384136,ssp585
2043,atlantic_north,1.1204052,ssp585
2044,atlantic_north,1.4397888,ssp585
2045,atlantic_north,1.0943756,ssp585
2046,atlantic_north,1.2505188,ssp585
2047,atlantic_north,1.2559261,ssp585
2048,atlantic_north,1.5440998,ssp585
2049,atlantic_north,1.2392426,ssp585
2050,atlantic_north,1.3417759,ssp585
2051,atlantic_north,1.1847095,ssp585
2052,atlantic_north,1.3162289,ssp585
2053,atlantic_north,1.8890305,ssp585
2054,atlantic_north,1.848402,ssp585
2055,atlantic_north,1.4185162,ssp585
2056,atlantic_north,1.5714035,ssp585
2057,atlantic_north,1.5922928,ssp585
2058,atlantic_north,1.7631092,ssp585
2059,atlantic_north,1.8436279,ssp585
2060,atlantic_north,2.240366,ssp585
2061,atlantic_north,1.9770107,ssp585
2062,atlantic_north,1.967392,ssp585
2063,atlantic_north,2.1386166,ssp585
2064,atlantic_north,2.6881428,ssp585
2065,atlantic_north,1.911066,ssp585
2066,atlantic_north,2.2167664,ssp585
2067,atlantic_north,2.6451187,ssp585
2068,atlantic_north,2.0327168,ssp585
2069,atlantic_north,2.4789124,ssp585
2070,atlantic_north,2.599516,ssp585
2071,atlantic_north,2.765253,ssp585
2072,atlantic_north,2.649744,ssp585
2073,atlantic_north,2.4467106,ssp585
2074,atlantic_north,2.6672134,ssp585
2075,atlantic_north,2.8117352,ssp585
2076,atlantic_north,2.6520596,ssp585
2077,atlantic_north,2.6887074,ssp585
2078,atlantic_north,3.0705166,ssp585
2079,atlantic_north,2.7587376,ssp585
2080,atlantic_north,3.0290527,ssp585
2081,atlantic_north,2.7267303,ssp585
2082,atlantic_north,3.1250095,ssp585
2083,atlantic_north,2.7439404,ssp585
2084,atlantic_north,3.0660648,ssp585
2085,atlantic_north,3.084406,ssp585
2086,atlantic_north,3.2403126,ssp585
2087,atlantic_north,3.4710712,ssp585
2088,atlantic_north,3.1946049,ssp585
2089,atlantic_north,3.0196438,ssp585
2090,atlantic_north,3.2815857,ssp585
2091,atlantic_north,3.2599926,ssp585
2092,atlantic_north,3.352419,ssp585
2093,atlantic_north,3.3554363,ssp585
2094,atlantic_north,3.7643757,ssp585
2095,atlantic_north,3.5561886,ssp585
2096,atlantic_north,3.9602108,ssp585
2097,atlantic_north,3.8858967,ssp585
2098,atlantic_north,4.389078,ssp585
2099,atlantic_north,4.2890015,ssp585
2100,atlantic_north,4.059248,ssp585
1980,atlantic_south,0.0,historical
1981,atlantic_south,0.13601875,historical
1982,atlantic_south,0.06092453,historical
1983,atlantic_south,0.12615585,historical
1984,atlantic_south,0.01613617,historical
1985,atlantic_south,0.10281944,historical
1986,atlantic_south,0.08673096,historical
1987,atlantic_south,0.119436264,historical
1988,atlantic_south,0.17184067,historical
1989,atlantic_south,0.14118767,historical
1990,atlantic_south,0.24550629,historical
1991,atlantic_south,0.38313675,historical
1992,atlantic_south,-0.057998657,historical
1993,atlantic_south,0.045482635,historical
1994,atlantic_south,0.29631424,historical
1995,atlantic_south,0.43704033,historical
1996,atlantic_south,0.5309067,historical
1997,atlantic_south,0.024921417,historical
1998,atlantic_south,0.08492088,historical
1999,atlantic_south,0.29795456,historical
2000,atlantic_south,0.44499016,historical
2001,atlantic_south,0.50118256,historical
2002,atlantic_south,0.37032318,historical
2003,atlantic_south,0.39387894,historical
2004,atlantic_south,0.14920807,historical
2005,atlantic_south,0.21173668,historical
2006,atlantic_south,0.32399368,historical
2007,atlantic_south,0.38591766,historical
2008,atlantic_south,0.15205002,historical
2009,atlantic_south,0.3051796,historical
2010,atlantic_south,0.374691,historical
2011,atlantic_south,0.39367485,historical
2012,atlantic_south,0.598999,historical
2013,atlantic_south,0.52939606,historical
2014,atlantic_south,0.6263199,historical
2015,atlantic_south,0.6541672,ssp585
2016,atlantic_south,0.46127892,ssp585
2017,atlantic_south,0.7475357,ssp585
2018,atlantic_south,0.6598816,ssp585
2019,atlantic_south,0.5878544,ssp585
2020,atlantic_south,0.6900749,ssp585
2021,atlantic_south,1.0737782,ssp585
2022,atlantic_south,0.94789124,ssp585
2023,atlantic_south,0.89598846,ssp585
2024,atlantic_south,0.7402687,ssp585
2025,atlantic_south,0.8708992,ssp585
2026,atlantic_south,0.7609253,ssp585
2027,atlantic_south,1.1033592,ssp585
2028,atlantic_south,1.042963,ssp585
2029,atlantic_south,0.9032631,ssp585
2030,atlantic_south,0.6697731,ssp585
2031,atlantic_south,0.95295906,ssp585
2032,atlantic_south,1.1662598,ssp585
2033,atlantic_south,1.066616,ssp585
2034,atlantic_south,0.8686123,ssp585
2035,atlantic_south,1.07654,ssp585
2036,atlantic_south,1.1857777,ssp585
2037,atlantic_south,1.4724712,ssp585
2038,atlantic_south,1.2298298,ssp585
2039,atlantic_south,1.165493,ssp585
2040,atlantic_south,1.2988548,ssp585
2041,atlantic_south,1.3860893,ssp585
2042,atlantic_south,1.1549892,ssp585
2043,atlantic_south,1.1284447,ssp585
2044,atlantic_south,1.1981316,ssp585
2045,atlantic_south,1.5389214,ssp585
2046,atlantic_south,1.4989643,ssp585
2047,atlantic_south,1.6176739,ssp585
2048,atlantic_south,1.4993706,ssp585
2049,atlantic_south,1.6369476,ssp585
2050,atlantic_south,1.7142849,ssp585
2051,atlantic_south,1.4532547,ssp585
2052,atlantic_south,1.7877331,ssp585
2053,atlantic_south,2.1679192,ssp585
2054,atlantic_south,1.8426323,ssp585
2055,atlantic_south,1.803463,ssp585
2056,atlantic_south,2.015257,ssp585
