year,region,tas_anomaly,scenario
1995,southern,0.49768168,historical
1996,southern,0.6642602,historical
1997,southern,0.34428185,historical
1998,southern,0.28110367,historical
1999,southern,0.218376,historical
2000,southern,0.23245,historical
2001,southern,0.416308,historical
2002,southern,0.11220533,historical
2003,southern,0.42212832,historical
2004,southern,0.2448149,historical
2005,southern,0.25710684,historical
2006,southern,0.51059586,historical
2007,southern,0.059343874,historical
2008,southern,0.43757468,historical
2009,southern,0.16411066,historical
2010,southern,0.4230353,historical
2011,southern,0.23217638,historical
2012,southern,0.7011429,historical
2013,southern,0.27853596,historical
2014,southern,0.39290515,historical
2015,southern,0.3410637,ssp585
2016,southern,0.23393533,ssp585
2017,southern,0.4993776,ssp585
2018,southern,0.2293066,ssp585
2019,southern,0.64772594,ssp585
2020,southern,0.23242624,ssp585
2021,southern,0.9892647,ssp585
2022,southern,0.3386064,ssp585
2023,southern,0.2706278,ssp585
2024,southern,0.4765403,ssp585
2025,southern,0.7023865,ssp585
2026,southern,0.7205309,ssp585
2027,southern,0.7378635,ssp585
2028,southern,0.5774571,ssp585
2029,southern,0.69999933,ssp585
2030,southern,0.8971037,ssp585
2031,southern,1.2274405,ssp585
2032,southern,0.54546916,ssp585
2033,southern,0.83007896,ssp585
2034,southern,0.60900176,ssp585
2035,southern,0.54153943,ssp585
2036,southern,0.87475705,ssp585
2037,southern,0.79577094,ssp585
2038,southern,0.82414013,ssp585
2039,southern,0.45123518,ssp585
2040,southern,0.37575358,ssp585
2041,southern,0.6846448,ssp585
2042,southern,0.70923716,ssp585
2043,southern,0.8191186,ssp585
2044,southern,0.68771154,ssp585
2045,southern,0.6657872,ssp585
2046,southern,0.8224012,ssp585
2047,southern,1.1402521,ssp585
2048,southern,0.83874273,ssp585
2049,southern,1.0714297,ssp585
2050,southern,1.2795762,ssp585
2051,southern,0.97142327,ssp585
2052,southern,0.6610545,ssp585
2053,southern,1.1267364,ssp585
2054,southern,0.87101704,ssp585
2055,southern,0.7924484,ssp585
2056,southern,1.025718,ssp585
2057,southern,0.81674945,ssp585
2058,southern,1.1256814,ssp585
2059,southern,1.4365827,ssp585
2060,southern,1.0334643,ssp585
2061,southern,0.89140445,ssp585
2062,southern,0.83511937,ssp585
2063,southern,0.9454434,ssp585
2064,southern,1.1381536,ssp585
2065,southern,1.2599852,ssp585
2066,southern,1.001575,ssp585
2067,southern,1.3397719,ssp585
2068,southern,1.2157948,ssp585
2069,southern,1.6877989,ssp585
2070,southern,1.5450922,ssp585
2071,southern,1.4533415,ssp585
2072,southern,1.647212,ssp585
2073,southern,1.5820717,ssp585
2074,southern,1.329358,ssp585
2075,southern,1.5568143,ssp585
2076,southern,1.7546945,ssp585
2077,southern,1.5845007,ssp585
2078,southern,1.6955029,ssp585
2079,southern,1.6791548,ssp585
2080,southern,1.4878052,ssp585
2081,southern,1.9525801,ssp585
2082,southern,2.3903077,ssp585
2083,southern,1.8581177,ssp585
2084,southern,1.7398912,ssp585
2085,southern,2.3432825,ssp585
2086,southern,1.7642893,ssp585
2087,southern,1.8598478,ssp585
2088,southern,1.945389,ssp585
2089,southern,2.002312,ssp585
2090,southern,1.9769723,ssp585
2091,southern,2.1554892,ssp585
2092,southern,2.251475,ssp585
2093,southern,1.8698007,ssp585
2094,southern,2.5570264,ssp585
2095,southern,2.3886266,ssp585
2096,southern,2.3715844,ssp585
2097,southern,2.1822813,ssp585
2098,southern,2.332273,ssp585
2099,southern,2.291915,ssp585
2100,southern,2.1874444,ssp585
