year,tas_anomaly,region,scenario,pr_anomaly
1984,-0.2693997912001347,asia,historical,0.016989608281009705
1985,-0.09905671174916364,asia,historical,0.050613556311017494
1986,0.10560669325278127,asia,historical,0.027739371303129978
1987,-0.09936249972545852,asia,historical,0.03667261629701768
1988,-0.0632547338532099,asia,historical,0.02383347451829465
1989,0.1742221872470715,asia,historical,0.021128055260682732
1990,0.21392612534291722,asia,historical,0.06535231796348828
1991,0.06099010776134506,asia,historical,0.017357830766899784
1992,-0.3404610252837088,asia,historical,-0.056700742180029184
1993,-0.32870034093410183,asia,historical,0.029348193120694255
1994,0.06951441725921548,asia,historical,0.04199655566038851
1995,0.294731911623872,asia,historical,0.03002187781641119
1996,0.1854151659856118,asia,historical,0.05151628394345753
1997,0.21838425975781384,asia,historical,0.03794392269108293
1998,0.42152615277470495,asia,historical,0.09407675686053718
1999,0.2526572402394667,asia,historical,0.062066763838377614
2000,0.3069434012778931,asia,historical,0.07259686721978653
2001,0.4811480952790852,asia,historical,0.023083715809754324
2002,0.6081847540017904,asia,historical,0.015604279425911916
2003,0.6306343399225902,asia,historical,0.05112331472340914
2004,0.4680449907376403,asia,historical,0.022948364779183272
2005,0.4485726456161032,asia,historical,-0.0010916693907017105
2006,0.5736976094015347,asia,historical,0.04627648369454862
2007,0.6411456333458805,asia,historical,-0.03065464529523476
2008,0.5781628097009222,asia,historical,0.06716777537827401
2009,0.6281149469701468,asia,historical,0.016576805257619398
2010,0.5591564135393305,asia,historical,0.07631962726480923
2011,0.7590460949361777,asia,historical,0.024780852422222388
2012,0.7546767694713115,asia,historical,0.021746707765757378
2013,0.775296778361124,asia,historical,0.03648414526796895
2014,0.776081349603901,asia,historical,0.0011227802919653307
2015,0.8970351790033195,asia,ssp585,-0.02985670144520869
2016,1.0585476052116647,asia,ssp585,-0.008095537577893275
2017,0.8866818486413948,asia,ssp585,0.017900614661694014
2018,1.2442916852110262,asia,ssp585,0.0475140364194222
2019,1.0423582936386921,asia,ssp585,0.06093245865924546
2020,1.1957475830833264,asia,ssp585,0.04419636648520697
2021,1.117220801458858,asia,ssp585,0.06871841598389627
2022,1.3217923260047861,asia,ssp585,0.0034919217165914063
2023,1.2886646258053478,asia,ssp585,0.10424002523692888
2024,1.4303327263386567,asia,ssp585,0.005658463739559139
2025,1.3967284115439682,asia,ssp585,0.11312684021612807
2026,1.2473590599175637,asia,ssp585,0.10899725046484043
2027,1.4983184957427156,asia,ssp585,0.1137070775209903
2028,1.4655941915427064,asia,ssp585,0.1516212808286599
2029,1.5467323851663455,asia,ssp585,0.04187220313157214
2030,1.538963905826236,asia,ssp585,0.07197179619621252
2031,1.7119834509754241,asia,ssp585,0.10407524481337616
2032,1.6412315123141727,asia,ssp585,-0.00374910641841808
2033,1.769099644577512,asia,ssp585,0.04904516342861953
2034,1.538249312434992,asia,ssp585,0.11530577852462232
2035,1.7847783439672114,asia,ssp585,0.12328237908260453
2036,1.841776969275994,asia,ssp585,0.08951064575225098
2037,2.169282012007491,asia,ssp585,0.14695410690647215
2038,1.9884389889873635,asia,ssp585,0.11167489813115594
2039,1.9498168070906168,asia,ssp585,0.09184908740917397
2040,2.0869479218453133,asia,ssp585,0.10433366512642994
2041,2.000441959720664,asia,ssp585,0.05294916354171697
2042,2.1300800735422296,asia,ssp585,0.10167103243896936
2043,2.3433366196984178,asia,ssp585,0.07465341284343818
2044,2.4744025155330807,asia,ssp585,0.18666038692388565
2045,2.4922237166731858,asia,ssp585,0.11175464983932404
2046,2.4710025335489956,asia,ssp585,0.16851729489438316
2047,2.397368753427406,asia,ssp585,0.14515873389759637
2048,2.4937890194789727,asia,ssp585,0.11958844197574514
2049,2.8905288149823978,asia,ssp585,0.08421908942178913
2050,2.7783944130184874,asia,ssp585,0.18315873573732677
2051,2.786151294784462,asia,ssp585,0.1690699469965029
2052,2.676490599462417,asia,ssp585,0.1765788957555472
2053,2.7338265728671924,asia,ssp585,0.1484911623703895
2054,2.863852829530371,asia,ssp585,0.16735374796158187
2055,3.0055371898120757,asia,ssp585,0.18201069168318185
2056,2.981649019679457,asia,ssp585,0.15796624475897048
2057,2.998159289161718,asia,ssp585,0.14562894039255125
2058,3.3372775177922502,asia,ssp585,0.1434040487612842
2059,3.345903476364482,asia,ssp585,0.18682375065674073
2060,3.3909944724621592,asia,ssp585,0.10416578401889076
2061,3.5043594341534448,asia,ssp585,0.2268797413547654
2062,3.4989314415279527,asia,ssp585,0.1279008076826882
2063,3.514395148169603,asia,ssp585,0.2398869807199162
2064,3.6299159024998087,asia,ssp585,0.2008584971173608
2065,3.628619681224487,asia,ssp585,0.23328059688248626
2066,3.7403957538660944,asia,ssp585,0.14986046370011552
2067,4.030693567252607,asia,ssp585,0.25633522144764154
2068,3.8568993892254557,asia,ssp585,0.23907914462005708
2069,3.983103700682504,asia,ssp585,0.2638014251264549
2070,3.9461148134771147,asia,ssp585,0.17473384198817854
2071,4.223692546209525,asia,ssp585,0.21922475323170554
2072,4.107794873240051,asia,ssp585,0.28903500275438176
2073,4.229939194027429,asia,ssp585,0.23761499197011826
2074,4.1494284650884605,asia,ssp585,0.2850897297892594
2075,4.378689198152385,asia,ssp585,0.18495271590438378
2076,4.388822355104198,asia,ssp585,0.249164374322266
2077,4.34753532995588,asia,ssp585,0.322561078331705
2078,4.298127828473129,asia,ssp585,0.2828389942443401
2079,4.533592286662019,asia,ssp585,0.2585091539388933
2080,4.76841115894384,asia,ssp585,0.3097699843617461
2081,4.790032516311042,asia,ssp585,0.26569380712136237
2082,4.8364385040733655,asia,ssp585,0.2619005104422252
2083,4.915154139095586,asia,ssp585,0.25938338140844497
2084,5.155155573775337,asia,ssp585,0.268208263064766
2085,5.140549361228077,asia,ssp585,0.2732938276731196
2086,5.227505772731186,asia,ssp585,0.258897520244072
2087,5.152881005787085,asia,ssp585,0.27988359200107116
2088,5.33876287389497,asia,ssp585,0.29292095577864385
2089,5.2319462823464935,asia,ssp585,0.2677051747981909
2090,5.422962656581882,asia,ssp585,0.3674780161528597
2091,5.367912664142606,asia,ssp585,0.2461949175145861
2092,5.43377513403618,asia,ssp585,0.35091599545765506
2093,5.596762440811824,asia,ssp585,0.2177224903049284
2094,5.7979117868320476,asia,ssp585,0.32414497752243454
2095,5.786621396145678,asia,ssp585,0.3286849019712461
2096,5.886568047928316,asia,ssp585,0.35225400459950196
2097,5.76718282430341,asia,ssp585,0.2959249307318812
2098,6.1955560271258765,asia,ssp585,0.3889570421858304
2099,5.930966110592065,asia,ssp585,0.40760229947308124
2100,6.714128683673055,asia,ssp585,0.48849317058400166
1980,0.0,europe,historical,0.0
1981,0.02893960398333606,europe,historical,-0.003105621631996236
1982,0.2594786857945721,europe,historical,-0.017350780743733196
1983,-0.4918753607998152,europe,historical,-0.040749274519054746
1984,0.09887368363359794,europe,historical,-0.01452894430712659
1985,0.15755573171240678,europe,historical,0.021977627640949127
1986,0.44607617245439557,europe,historical,0.01794916413458436
1987,0.1256993795713286,europe,historical,-0.015043807202065107
1988,0.5458776712522702,europe,historical,-0.002046586341476031
1989,0.6292025180666501,europe,historical,-0.011442448991830334
1990,0.4972374862886333,europe,historical,0.0033616513638592416
1991,0.2632712163976352,europe,historical,-0.015822429916438896
1992,0.03815807486234535,europe,historical,-0.020951573962713965
1993,-0.2774186171027315,europe,historical,-0.034968099447622025
1994,0.5971696209663906,europe,historical,-0.003331979802173146
1995,0.7231596308986226,europe,historical,0.0329949954317994
1996,0.8727935900357,europe,historical,0.0062531832413545985
1997,0.4306921597491715,europe,historical,-0.004466203751698039
1998,0.8085337396517902,europe,historical,0.03213154493539405
1999,0.4665216161450272,europe,historical,0.03064232536259892
2000,1.2825873440702118,europe,historical,0.03947450797686569
2001,1.0040481485988748,europe,historical,0.068149502536057
2002,1.2389892472584751,europe,historical,0.06204406846516486
2003,1.3192350925395182,europe,historical,0.015696737471140754
2004,0.9970295090225851,europe,historical,0.027216944966883094
2005,1.3255786525903384,europe,historical,0.08570101083159454
2006,1.2828797279704327,europe,historical,0.02710658172446556
2007,1.251843428659932,europe,historical,0.0747084245259706
2008,1.2661530178941591,europe,historical,0.06145429032896832
2009,1.3648334778247304,europe,historical,0.030623246457165187
2010,1.3711699608090382,europe,historical,0.018586176080450212
2011,1.462919565109011,europe,historical,0.03768774172999345
2012,1.5262945943757154,europe,historical,0.04895650854104261
2013,1.1642751140787126,europe,historical,0.05314613668286294
2014,1.290269130177422,europe,historical,0.053960107459253503
2015,1.3835256828064746,europe,ssp585,0.06714991328297848
2016,1.3540013434528748,europe,ssp585,0.07875932497409677
2017,1.6870366060062107,europe,ssp585,0.0488055729997654
2018,1.9997497698207825,europe,ssp585,0.13007917334747066
2019,1.7255443525190335,europe,ssp585,0.1064252606901126
2020,1.7287309682607477,europe,ssp585,0.09890943717721701
2021,2.3478063584591524,europe,ssp585,0.08637725518398898
2022,2.171162746817804,europe,ssp585,0.13448305137735073
2023,2.5747897858560322,europe,ssp585,0.08709270146016124
2024,2.249993922779997,europe,ssp585,0.16776011141718072
2025,2.4080149681561998,europe,ssp585,0.09911407243791781
2026,2.4581888528218223,europe,ssp585,0.07780150173084666
2027,2.172127810092241,europe,ssp585,0.12167909708696056
2028,2.5812616222051035,europe,ssp585,0.09716569324544344
2029,2.2520775873527463,europe,ssp585,0.1267224082833882
2030,2.644106050373511,europe,ssp585,0.12651678433050662
2031,2.538270653578343,europe,ssp585,0.13411317973817805
2032,2.825722082124939,europe,ssp585,0.15283970071519848
2033,2.6679128371984953,europe,ssp585,0.12241935458480357
2034,2.80344938942288,europe,ssp585,0.11299616239318833
2035,2.933513928284056,europe,ssp585,0.12965014558053367
2036,2.8987570587955886,europe,ssp585,0.1325439343970798
2037,2.8306867494786343,europe,ssp585,0.1800998418252644
2038,3.3254727602745433,europe,ssp585,0.1578629989360354
2039,2.8733942049098173,europe,ssp585,0.125823402325685
2040,3.1042115874576477,europe,ssp585,0.14457570505422446
2041,3.4299561694076406,europe,ssp585,0.12962992457164946
2042,3.1208766584238963,europe,ssp585,0.15413581323639658
2043,3.0728916937815147,europe,ssp585,0.19761460707603962
2044,3.1821288342549297,europe,ssp585,0.1624830527014527
2045,3.8443963914187607,europe,ssp585,0.1999518856989737
2046,3.7091150481968804,europe,ssp585,0.12678812594985245
2047,3.3723714765111508,europe,ssp585,0.13458420040151342
2048,3.5840178083144103,europe,ssp585,0.1588866497470507
2049,3.8814265667952195,europe,ssp585,0.1972212062942309
2050,3.848634116250727,europe,ssp585,0.17468612810102035
2051,3.9682908733873625,europe,ssp585,0.15578818964701258
2052,4.161300823986209,europe,ssp585,0.11287727308244455
2053,3.8933242776309416,europe,ssp585,0.1722655032846896
2054,4.232271363977569,europe,ssp585,0.104721540835375
2055,4.357395990413048,europe,ssp585,0.16339335414444522
2056,4.290233102244896,europe,ssp585,0.16139197697358254
2057,4.71195948623628,europe,ssp585,0.13502971803242314
2058,4.883477130297928,europe,ssp585,0.2514702415731218
2059,4.429827983715108,europe,ssp585,0.16833317884903698
2060,4.830967111694327,europe,ssp585,0.20726948907158427
2061,5.009613413474416,europe,ssp585,0.20265300506521977
2062,4.868999760345571,europe,ssp585,0.2060603079359633
2063,4.936561102829053,europe,ssp585,0.20370261809874424
2064,5.236342776413461,europe,ssp585,0.2144668124217297
2065,5.134619602361732,europe,ssp585,0.1932136955014756
2066,5.629787582349697,europe,ssp585,0.24471635440183603
2067,5.556291271877242,europe,ssp585,0.22900024832301447
2068,5.357781095610873,europe,ssp585,0.21283234638922965
2069,5.306728615590207,europe,ssp585,0.2125111054456168
2070,5.421027979787608,europe,ssp585,0.24826244058887492
2071,5.430074984571281,europe,ssp585,0.2583741321089481
2072,5.673271105793938,europe,ssp585,0.2063212560347496
2073,5.724327607288679,europe,ssp585,0.2758157787076969
2074,5.715999453714119,europe,ssp585,0.2221722213761108
2075,6.056891904425721,europe,ssp585,0.26288149134090744
2076,5.78862111217425,europe,ssp585,0.2370771796220097
2077,5.898623090511016,europe,ssp585,0.2293676108469247
2078,5.842686669105101,europe,ssp585,0.22172190412175374
2079,6.238155092665359,europe,ssp585,0.2845990081861467
2080,6.191028397953776,europe,ssp585,0.2216821256330559
2081,6.287589235542255,europe,ssp585,0.25641808528030685
2082,6.324135895725963,europe,ssp585,0.21609823805308603
2083,6.3260161160648245,europe,ssp585,0.22553886962135095
2084,6.824575070443064,europe,ssp585,0.27686448575748823
2085,6.757201300835069,europe,ssp585,0.22059536606595875
2086,6.800709423496338,europe,ssp585,0.30090810465595763
2087,6.890859731283788,europe,ssp585,0.25859693575426923
2088,7.469122242443872,europe,ssp585,0.28610838660070903
2089,7.160257296014077,europe,ssp585,0.2333488936421766
2090,7.224721008904536,europe,ssp585,0.25985651552498856
2091,7.112476054599297,europe,ssp585,0.2942204416961334
2092,7.543347148027639,europe,ssp585,0.2678598288477869
2093,7.6618055706102535,europe,ssp585,0.2949617467020216
2094,7.421070378435932,europe,ssp585,0.31535311570882674
2095,7.521029140941325,europe,ssp585,0.2932406133892951
2096,7.630687651266534,europe,ssp585,0.28468507367807105
2097,7.66855285711196,europe,ssp585,0.3168058787383521
2098,8.01430689992555,europe,ssp585,0.32920612328182597
2099,8.27047798017505,europe,ssp585,0.32129865630186605
2100,9.134771143441998,europe,ssp585,0.39447511639434896
1980,0.0,north_america,historical,0.0
1981,0.03467713618703527,north_america,historical,-0.02429601377588364
1982,-0.0906390080622419,north_america,historical,-0.03234817232884746
1983,-0.1799864713744075,north_america,historical,-0.04723906889136886
1984,-0.13510628847470652,north_america,historical,-0.015143774972825153
1985,-0.23489284187419446,north_america,historical,-0.01740807891288343
